name,battery,camera,display,processor,memory,warranty,price,rating,reviews
"Redmi 8 (Ruby Red, 64 GB)",5000 mAh Battery,12MP + 2MP | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,9999,4.4,55078
"Realme 5i (Aqua Blue, 64 GB)",5000 mAh Battery,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Qualcomm Snapdragon 665 2 GHz Processor,4 GB RAM | 64 GB ROM,Sunrise Design,10999,4.5,20062
"Realme 5i (Aqua Blue, 128 GB)",5000 mAh Battery,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Qualcomm Snapdragon 665 (2 GHz) Processor,4 GB RAM | 128 GB ROM,Sunrise Design,11999,4.5,20062
"Realme 5i (Forest Green, 128 GB)",5000 mAh Battery,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Qualcomm Snapdragon 665 (2 GHz) Processor,4 GB RAM | 128 GB ROM,Sunrise Design,11999,4.5,20062
"Realme C2 (Diamond Blue, 32 GB)",4000 mAh Battery,13MP + 2MP | 5MP Front Camera,15.49 cm (6.1 inch) HD+ Display,MediaTek P22 Octa Core 2.0 GHz Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Dual Nano SIM slots and Memory Card Slot,7499,4.4,10091
"Realme C2 (Diamond Black, 32 GB)",4000 mAh Battery,13MP + 2MP | 5MP Front Camera,15.49 cm (6.1 inch) HD+ Display,MediaTek P22 Octa Core 2.0 GHz Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Dual Nano SIM slots and Memory Card Slot,7499,4.4,10091
"Realme C2 (Diamond Black, 32 GB)",4000 mAh Battery,13MP + 2MP | 5MP Front Camera,15.49 cm (6.1 inch) HD+ Display,MediaTek P22 Octa Core 2.0 GHz Processor,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Dual Nano SIM slots and Memory Card Slot,6999,4.4,67674
"Realme C2 (Diamond Sapphire, 32 GB)",4000 mAh Battery,13MP + 2MP | 5MP Front Camera,15.49 cm (6.1 inch) HD+ Display,MediaTek P22 Octa Core 2.0 GHz Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Dual Nano SIM slots and Memory Card Slot,7499,4.4,10091
"Realme 5i (Forest Green, 64 GB)",5000 mAh Battery,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Qualcomm Snapdragon 665 2 GHz Processor,4 GB RAM | 64 GB ROM,Sunrise Design,10999,4.5,20062
"Realme C2 (Diamond Ruby, 32 GB)",4000 mAh Battery,13MP + 2MP | 5MP Front Camera,15.49 cm (6.1 inch) HD+ Display,MediaTek P22 Octa Core 2.0 GHz Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Dual Nano SIM slots and Memory Card Slot,7499,4.4,10091
"Redmi 8 (Sapphire Blue, 64 GB)",5000 mAh Battery,12MP + 2MP | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,9999,4.4,55078
"Redmi 8 (Onyx Black, 64 GB)",5000 mAh Battery,12MP + 2MP | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,9999,4.4,55078
"Tecno Spark Power 2 (Ice Jadeite, 64 GB)",6000 mAh Li-ion Polymer Battery,16 MP + 5 MP + 2 MP + AI Lens | 16MP Front Camera,17.78 cm (7 inch) HD+ Display,MediaTek Helio P22 Octa Core Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,18 W Fast Charging,9999,4.3,2358
"Realme C3 (Volcano Grey, 32 GB)",5000 mAh Battery,12MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Helio G70 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,8999,4.5,5641
"Realme C3 (Volcano Grey, 64 GB)",5000 mAh Battery,12MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Helio G70 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,9999,4.5,8877
"Realme C2 (Diamond Blue, 32 GB)",4000 mAh Battery,13MP + 2MP | 5MP Front Camera,15.49 cm (6.1 inch) HD+ Display,MediaTek P22 Octa Core 2.0 GHz Processor,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Dual Nano SIM slots and Memory Card Slot,6999,4.4,67674
"Realme 6 (Comet Blue, 64 GB)",4300 mAh Battery,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,MediaTek Helio G90T Processor,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,90 Hz Ultra Smooth Display,15999,4.4,4318
"POCO X2 (Phoenix Red, 128 GB)",4500 mAh Lithium-ion Polymer Battery,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 730G Processor,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,18499,4.5,17578
"Infinix Hot 9 (Violet, 64 GB)",5000 mAh Li-ion Polymer Battery,13 MP + 2 MP + 2 MP + Low Light Sensor | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,MediaTek Helio P22 (64 bit) Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"1 Year Warranty on Phone, 6 Months Warranty on Accessories",9499,4.5,2263
