name,battery,camera,display,processor,memory,warranty,reviews,price,price_range,rating,rating_category
"Samsung Galaxy S20 Ultra (Cosmic Gray, 128 GB)",5000 mAh Lithium-ion Battery,108 MP + 48 MP + 12 MP + VGA Depth Camera | 40MP Front Camera,17.53 cm (6.9 inch) Quad HD+ Display,Exynos 990 Processor,12 GB RAM | 128 GB ROM | Expandable Upto 1 TB,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,16,97999,High Range,4.3,High Rating
"Samsung Galaxy S20 Ultra (Cosmic Black, 128 GB)",5000 mAh Lithium-ion Battery,108 MP + 48 MP + 12 MP + VGA Depth Camera | 40MP Front Camera,17.53 cm (6.9 inch) Quad HD+ Display,Exynos 990 Processor,12 GB RAM | 128 GB ROM | Expandable Upto 1 TB,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,16,97999,High Range,4.3,High Rating
"Mi 10 (Coral Green, 256 GB)",4780 mAh Battery,108MP + 13MP + 2MP + 2MP | 20MP Front Camera,16.94 cm (6.67 inch) Display,Qualcomm Snapdragon 865 Processor,8 GB RAM | 256 GB ROM,Full HD+ 3D Curved E3 AMOLED HDR 10+ Display,5,49990,High Mid Range,4.3,High Rating
"Google Pixel 3a XL (Just Black, 64 GB)",3700 mAh Battery,12.2MP Rear Camera | 8MP Front Camera,15.24 cm (6 inch) Full HD+ Display,Qualcomm Snapdragon 670 Processor,4 GB RAM | 64 GB ROM,eSIM Compatible,229,34999,High Mid Range,4.5,High Rating
"Google Pixel 3a (Clearly White, 64 GB)",3000 mAh Battery,12.2MP Rear Camera | 8MP Front Camera,14.22 cm (5.6 inch) Full HD+ Display,Qualcomm Snapdragon 670 Processor,4 GB RAM | 64 GB ROM,eSIM Compatible,934,30999,High Mid Range,4.5,High Rating
"Google Pixel 3a (Just Black, 64 GB)",3000 mAh Battery,12.2MP Rear Camera | 8MP Front Camera,14.22 cm (5.6 inch) Full HD+ Display,Qualcomm Snapdragon 670 Processor,4 GB RAM | 64 GB ROM,eSIM Compatible,934,30999,High Mid Range,4.5,High Rating
"Google Pixel 3a XL (Clearly White, 64 GB)",3700 mAh Battery,12.2MP Rear Camera | 8MP Front Camera,15.24 cm (6 inch) Full HD+ Display,Qualcomm Snapdragon 670 Processor,4 GB RAM | 64 GB ROM,eSIM Compatible,229,34999,High Mid Range,4.5,High Rating
"Samsung Galaxy S9 Plus (Midnight Black, 64 GB)",3500 mAh Battery,12MP + 12MP | 8MP Front Camera,15.75 cm (6.2 inch) Quad HD+ Display,Exynos 9810 Processor,6 GB RAM | 64 GB ROM | Expandable Upto 400 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3625,30999,High Mid Range,4.5,High Rating
"Samsung Galaxy Note10 Lite (Aura Black, 128 GB)",4500 mAh Lithium-ion Battery,12MP + 12MP + 12MP | 32MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,Exynos 9810 Processor,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,141,39999,High Mid Range,4.4,High Rating
"Samsung Galaxy Note10 Lite (Aura Glow, 128 GB)",4500 mAh Lithium-ion Battery,12MP + 12MP + 12MP | 32MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,Exynos 9810 Processor,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,141,39999,High Mid Range,4.4,High Rating
"Samsung Galaxy Note10 Lite (Aura Black, 128 GB)",4500 mAh Lithium-ion Battery,12MP + 12MP + 12MP | 32MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,Exynos 9810 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,45,37999,High Mid Range,4.4,High Rating
